respondent_id,role,class_name,submitted_at,S0.1,S0.2,S0.3,S0.4,S1.1,S1.1__freetext,S1.2,S1.3,S1.4,S1.5,S1.6,S2.1,S2.2,S2.3,S2.4,S2.4__freetext,S2.5,S3.1,S3.2,S3.3,S3.4,S3.5,S3.6,S3.7,S4.1,S4.2,S4.3,S4.4,S4.5,S5.1,S5.2,S5.3,S5.4,S5.5,S6.1,S6.2,S6.3,S6.4,S7.1,S7.2,S7.3
S001,student,,2026-05-12T11:59:28.9666667,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Google Gemini|Perplexity|Claude Code|Claude Cowork,,"Ja, über 10 €/Monat",Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Desktop-PC,2,Täglich,"Zur Vorbereitung auf Tests und Schularbeiten|Um Texte zu verbessern oder Feedback zu bekommen|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich im Unterricht,Angewandte Mathematik|Physik|Programmierunterricht,,"Es gibt kaum etwas das mir einfällt was man besser machen könnte als Claude, vielleicht Zugriff auf die Moodle Plattform würde einen enormen Unterschied machen.","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Sich an mein Lerntempo und meinen Wissensstand anpassen",Das hängt vom Thema ab — ich möchte wählen können,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich","Keine, der KI-Tutor sollte am besten einfach nicht hinter einer Paywall versteckt sein und es sollte auch ein Minimum an Qualität und Nutzen geben damit die Schüler das auch wirklich nutzen.",3,2,4,4,4,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben",1,3,Meistens,1,1,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Wäre nett, aber nicht entscheidend",Eine Paywall.,Personalisiertes Lernen.,
S002,student,1AFELA,2026-05-04T13:16:15.3100000,10. Schulstufe,Informatik,3,"Ja, ein paar Mal ausprobiert",ChatGPT|Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren",Smartphone,3,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Beides gleichermaßen,Angewandte Mathematik|Physik,,Besser erklären,,,,,,,,,,,,,,,,,,,,,,,,
S003,student,1AFELA,2026-05-04T13:22:23.0566667,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,2,"Ja, regelmäßig",ChatGPT,,Nein,Seltener,"Erklärungen zu Themen, die ich nicht verstehe",Smartphone,2,Mehrmals pro Woche,"Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme",Weiß ich noch nicht,Programmierunterricht|Physik,Angewandte Elektronik,"Nicht nur die Antworten auf die Aufgaben geben, sondern auch erklären wie man auf die Antwort kommt und die Fehler die man macht erklärt damit man sie nicht wieder macht","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Sich an mein Lerntempo und meinen Wissensstand anpassen",Das hängt vom Thema ab — ich möchte wählen können,Die komplette Lösung zeigen und erklären,4,"Ja, vereinfachte Sprache wäre hilfreich",,4,2,3,3,3,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Bessere Erklärungen als im Lehrbuch|Personalisiertes Lerntempo",2,3,Manchmal,2,2,3,Nur wenn ich vorher informiert werde,"Um zu sehen, ob der KI-Tutor gut funktioniert","Wäre nett, aber nicht entscheidend",Wenn er mir falsche antworten gibt und das öfters hintereinander,In der Schule,
S004,student,1AFELA,2026-05-04T13:31:22.3066667,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,4,"Ja, regelmäßig",ChatGPT,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Prüfungsvorbereitung",Smartphone,3,Mehrmals pro Woche,"Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Beides gleichermaßen,Physik,,Die Sachen erklären so wie die Lehrer es auch erzählt haben.,"Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Zusammenfassungen von Unterrichtsmaterial erstellen",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,4,2,4,3,4,"Personalisiertes Lerntempo|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen",3,3,Immer,2,3,3,Ist mir egal,"Um zu sehen, ob der KI-Tutor gut funktioniert","Wäre nett, aber nicht entscheidend",Geld zahlen,Beim vorbereiten für Schularbeiten ,
S005,student,1AFELA,2026-05-04T16:55:54.6966667,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Google Gemini,,"Ja, über 10 €/Monat",Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Übersetzungen|Prüfungsvorbereitung",Smartphone,3,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme",Beides gleichermaßen,Deutsch|Englisch,,Ich benutze nur ChatGPT ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten","Kurze, knappe Antworten","Einen Hinweis geben, der mich in die richtige Richtung lenkt",3,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",Bilder erstellen ,4,4,4,4,3,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",3,3,Meistens,3,2,2,Ist mir egal,Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig",Ka ,Keine Ahnung ,Nein
S006,student,1AFELA,2026-05-06T09:20:54.1133333,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,3,"Ja, ein paar Mal ausprobiert",Google Gemini,,Nein,Seltener,"Erklärungen zu Themen, die ich nicht verstehe",Smartphone,2,Seltener,"Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme",Weiß ich noch nicht,Angewandte Mathematik|Physik|Programmierunterricht,,Keine Ahnung ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen","Kurze, knappe Antworten","Einen Hinweis geben, der mich in die richtige Richtung lenkt",2,"Ja, vereinfachte Sprache wäre hilfreich","Weis nicht 
",3,1,2,3,2,Personalisiertes Lerntempo,2,2,Meistens,2,4,1,"Finde ich gut, das hilft beim Lernen",Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig",Keine Ahnung was der Lehrer vielleicht sagt was wir nie machen sollten ,"Keine Ahnung würde sagen es geht 
",Na 
S007,student,1AHBG,2026-05-05T10:16:39.2900000,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini|Claude Code,,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Desktop-PC,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)|Zur Vorbereitung auf Tests und Schularbeiten",Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik,Bsv,Richtige Antworten geben ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Schritt-für-Schritt-Anleitungen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",3,"Nein, Deutsch reicht völlig",,3,2,3,3,4,"Gezielte Vorbereitung auf Prüfungen|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Personalisiertes Lerntempo",3,2,Meistens,1,3,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig",Wenn er Daten sammelt,Bessere Borbereitungen auf Tests,
S008,student,1AHBG,2026-05-05T10:17:01.6533333,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,3,"Ja, regelmäßig",ChatGPT|Google Gemini|Claude Code,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Prüfungsvorbereitung|Übersetzungen",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich zu Hause,Angewandte Mathematik|Physik|Programmierunterricht,,Bessere/ Ausführlichere Antworten ,"Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Quellen und weiterführende Links anbieten",Schritt-für-Schritt-Anleitungen,Die komplette Lösung zeigen und erklären,4,"Ja, vereinfachte Sprache wäre hilfreich",,2,2,3,2,3,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen",2,3,Manchmal,1,1,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Wäre nett, aber nicht entscheidend","Ich hab keins
",Keine Ahnung,
S009,student,1AHBG,2026-05-05T10:17:48.6466667,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,2,"Ja, regelmäßig",ChatGPT|Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe",Smartphone,3,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten",Hauptsächlich zu Hause,Angewandte Mathematik,,"Genauere Antworten, Gratis,Kein Limit und Stoff von unserem Lehrer","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Zusammenfassungen von Unterrichtsmaterial erstellen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Ja, vereinfachte Sprache wäre hilfreich",,3,2,4,3,4,Gezielte Vorbereitung auf Prüfungen,2,2,Meistens,1,2,1,Ist mir egal,Um den Unterricht besser an unsere Fragen anzupassen,"Nein, mir reicht eine gute Antwort",Ein Preis,Für bessere Noten und um eine Erklärung zu bekommen die genau passt für die Schule,
S010,student,1AHBG,2026-05-05T10:18:25.6933333,9. Schulstufe (1. Klasse Oberstufe),Naturwissenschaften,4,"Ja, regelmäßig",ChatGPT|Google Gemini|Perplexity|Grammarly|Claude Cowork|Microsoft Copilot|Claude Code,,Nein,Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Laptop,1,Täglich,"Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)",Beides gleichermaßen,Programmierunterricht,,mehr bindung zu dem nutzer aufbauen,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Quellen und weiterführende Links anbieten",Mit Bildern und Diagrammen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Nein, Deutsch reicht völlig",erklär videos also animstionen,4,1,4,4,4,Bessere Erklärungen als im Lehrbuch|Individuelles Feedback auf meine Aufgaben,4,1,Manchmal,1,4,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig",falsche antworten,lernhilfe,
