respondent_id,role,class_name,submitted_at,L0.1,L0.1__freetext,L0.2,L0.3,L0.4,L1.1,L1.1__freetext,L1.2,L1.3,L1.4,L1.5,L2.1,L2.2,L2.3,L2.4,L2.5,L2.5__freetext,L3.1,L3.2,L3.3,L3.4,L3.5,L3.5__freetext,L3.6,L3.7,L4.1,L4.2,L4.3,L4.4,L5.1,L5.2,L5.3,L6.1,L6.2,L6.3,L6.3__freetext,L6.4,L7.1,L7.2,L7.3,L7.4,L7.5
T001,teacher,,2026-04-21T12:16:38.3166667,Angewandte Mathematik|Biologie,,5–15 Jahre,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini|Perplexity,Lmarena,Mehrmals pro Woche,Aufgaben und Prüfungen erstellen|Differenzierung und Individualisierung|Eigene Weiterbildung,"Ja, privat finanziert",Die meisten nutzen KI regelmäßig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T002,teacher,,2026-04-30T12:44:58.3800000,Programmieren/POSE|Programmierunterricht,,5–15 Jahre,4,"Ja, regelmäßig",ChatGPT,Claude,Täglich,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Eigene Weiterbildung","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Regelmäßig (wöchentlich oder häufiger),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Nachhilfe-Ersatz für schwächere Schüler:innen|Vorbereitung auf Tests und Schularbeiten,"Ja, das klingt sinnvoll",Permanent verfügbar,Individuellere Betreuung ermöglichen|Modernisierung des Unterrichts|Bessere Vorbereitung der Schüler:innen auf Prüfungen,,Fachliche Korrektheit der Antworten|Einfache Erstellung von Workspaces|Anpassung an meinen Lehrplan und meine Materialien,4,Die Schüler:innen sollen selbst wählen können,2,"Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Wäre ein nettes Extra, aber nicht prioritär",,4,2,Personalisiertes Lernen (individuelle Lernpfade)|Zeitnahe Rückmeldung auf Aufgaben|Forderung leistungsstarker Schüler:innen,"Nein, das frustriert die Schüler:innen unnötig",2,"Nein, die Schüler:innen sollen eigenverantwortlich entscheiden","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe",DSGVO-konforme Datenverarbeitung in der EU|Eltern-Informationspflicht bei Nutzung durch Minderjährige,,Die Schulleitung zentral,4,4,Kenne mich damit nicht aus,"Zu kleine LLMs werden verwendet, die zu falschen/unvollständigen/schlechten Antworten führen",
T003,teacher,,2026-05-04T12:12:46.2366667,Programmierunterricht,Technisches Zeichnen,5–15 Jahre,3,"Ja, vereinzelt ausprobiert",ChatGPT,,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Eigene Weiterbildung",Nein,Ich kann das nicht einschätzen,Regelmäßig (wöchentlich oder häufiger),Übungsphasen im Unterricht|Vorbereitung auf Tests und Schularbeiten|Nachhilfe-Ersatz für schwächere Schüler:innen,"Ja, das klingt sinnvoll",Permanent verfügbar,Individuellere Betreuung ermöglichen|Schüler:innen zum eigenständigen Lernen anregen|Modernisierung des Unterrichts,,Auswertung der Schüler:innen-Nutzung (Lernfortschritt)|Anpassung an meinen Lehrplan und meine Materialien|Keine Preisgabe von Lösungen an Schüler:innen,2,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",2,Schulinterne Dateiablage,,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch",,4,3,Personalisiertes Lernen (individuelle Lernpfade)|Entlastung bei Routineerklärungen|Förderung schwächerer Schüler:innen,"Ja, das fördert kritisches Denken",1,"Ja, schulweite Regeln",Keine KI-Nutzung bei Prüfungen,4,"Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)|Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",Regelmäßige Datenlöschung,,Die Schulleitung zentral,3,4,"Habe davon gehört, kenne Details nicht",keine Idee dazu,
T004,teacher,,2026-05-04T12:31:38.8933333,Programmierunterricht,,Über 15 Jahre,4,"Ja, regelmäßig",Microsoft Copilot,,Täglich,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor),"Nur wenn fertige Vorlagen vorhanden sind, die ich anpassen kann",Permanent verfügbar,Individuellere Betreuung ermöglichen|Modernisierung des Unterrichts,,Fachliche Korrektheit der Antworten,4,"Nur Hinweise, niemals die Lösung",4,"Lernplattform/LMS (z.B. Moodle, MS Teams)",,"Ja, das wäre für einige meiner Schüler:innen wichtig",,3,3,Personalisiertes Lernen (individuelle Lernpfade)|Entlastung bei Routineerklärungen,"Ja, das fördert kritisches Denken",4,"Ja, schulweite Regeln",Keine KI-Nutzung bei Prüfungen,3,Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte),Keine Weitergabe von Daten an Dritte,,Die Schulleitung zentral,4,3,Grundlegendes Verständnis,Wenn Aufgaben nur mit KI Unterstützungen gelöst werden!,
T005,teacher,,2026-05-04T12:33:33.6233333,,Chemie,5–15 Jahre,3,"Nein, und ich habe es auch nicht vor",ChatGPT,,Seltener,Texte verfassen oder korrigieren|Eigene Weiterbildung,Nein,Die meisten nutzen KI regelmäßig,Selten (für bestimmte Themen/Projekte),Übungsphasen im Unterricht,"Ja, wenn es einfach und schnell geht (unter 15 Min. pro Lektion)",Nur zu von mir definierten Zeiten,Schüler:innen zum eigenständigen Lernen anregen,"Ich würde den SuS gene zeigeen, dass die Resultate immer zu hinterfragen sind. Meine eigene Erfahrung ist, dass die Antworten nie 100% passen, die SuS die Fehler aber nicht erkennen, falsches lernen, ...",Fachliche Korrektheit der Antworten|Nachvollziehbare Quellenangaben|Anpassung an meinen Lehrplan und meine Materialien,3,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Elektronisches Klassenbuch",,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch","""richtige"" Antworten mit fachlichen Quellen. Kein sinnloses geschwafel, dass keine brauchbare Antwort enthält",3,4,Förderung von Medienkompetenz und kritischem Denken|Forderung leistungsstarker Schüler:innen,"Ja, das fördert kritisches Denken",4,"Ja, schulweite Regeln",Keine KI-Nutzung bei Prüfungen,4,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)",Regelmäßige Datenlöschung|DSGVO-konforme Datenverarbeitung in der EU,,Die Schulleitung zentral,1,4,Kenne mich damit nicht aus,lieber keine als falsche Antworten,
T006,teacher,,2026-05-04T12:36:34.0100000,Programmierunterricht,DBI,5–15 Jahre,3,"Nein, aber ich plane es",ChatGPT,Github Copilot mit GPT,Mehrmals pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Texte verfassen oder korrigieren","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Übungsphasen im Unterricht|Nachhilfe-Ersatz für schwächere Schüler:innen|Vertiefung für leistungsstarke Schüler:innen,"Ja, das klingt sinnvoll",Nur zu von mir definierten Zeiten,Schüler:innen zum eigenständigen Lernen anregen|Bessere Vorbereitung der Schüler:innen auf Prüfungen,"KI als Lernhilfe präsentieren, nicht als Copy/Paste Übungserledigung",Fachliche Korrektheit der Antworten|Anpassung an meinen Lehrplan und meine Materialien|Keine Preisgabe von Lösungen an Schüler:innen,4,"Nur Hinweise, niemals die Lösung",2,"Programmierwerkzeuge (z.B. GitHub, IDE-Integration)|Keine Integration nötig",,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch","Eine einfache Möglichkeit (Checkbox), gerade bei Programmieraufgaben das Herausgeben der Implementierung zu verhindern.",2,2,Förderung schwächerer Schüler:innen|Forderung leistungsstarker Schüler:innen|Entlastung bei Routineerklärungen,"Ja, aber nur wenn es im Workspace so konfiguriert ist",3,"Ja, schulweite Regeln",Keine KI-Nutzung bei Prüfungen,3,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",DSGVO-konforme Datenverarbeitung in der EU|Keine dauerhafte Speicherung von Chat-Verläufen|Eltern-Informationspflicht bei Nutzung durch Minderjährige|Keine Weitergabe von Daten an Dritte|Regelmäßige Datenlöschung,,Die Schulleitung zentral,2,2,"Habe davon gehört, kenne Details nicht","Auf asoziale (rassischtisch, xyz-feindlich, politisch, ...) Prompts reagieren und diese nicht entschieden zurückzuweisen.","Nur wer etwas weiss, kann gute Fragen stellen. Daher muß nach wie vor in der Schule primär Wissen und Verständnis erworben werden. KI ist ein Werkzeug, das Vorraussetzungen an den User stellt, vor allem das Formulieren und Benennen von Fachkonzepten. Wir müssen daher im ""menschlichen Kontakt-Unterricht"" vor allem Fachbegriffe, deren Bedeutung und die Zusammenhänge fokussieren."
T007,teacher,,2026-05-04T12:41:42.2733333,Programmierunterricht,,5–15 Jahre,4,"Ja, vereinzelt ausprobiert",ChatGPT,Claude Code,Täglich,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Differenzierung und Individualisierung|Eigene Weiterbildung","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Vorbereitung auf Tests und Schularbeiten|Differenzierung (unterschiedliche Niveaus in einer Klasse),"Ja, wenn es einfach und schnell geht (unter 15 Min. pro Lektion)",Nur zu von mir definierten Zeiten,Entlastung bei Routinefragen der Schüler:innen|Schüler:innen zum eigenständigen Lernen anregen,,Fachliche Korrektheit der Antworten|Anpassung an meinen Lehrplan und meine Materialien|Keine Preisgabe von Lösungen an Schüler:innen,4,"Nur Hinweise, niemals die Lösung",2,Keine Integration nötig,,"Wäre ein nettes Extra, aber nicht prioritär",Liefert den aktuellen technischen Stand und nicht immer wieder seit Jahren veraltete Informationen.,2,2,Entlastung bei Routineerklärungen|Förderung schwächerer Schüler:innen,"Ja, aber nur wenn es im Workspace so konfiguriert ist",3,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",4,"Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)|Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",DSGVO-konforme Datenverarbeitung in der EU,,Die Schulleitung zentral,3,2,Grundlegendes Verständnis,"Wenn das Teil versucht eine persönliche Beziehung mit SuS aufzubauen und sich als Freund/Person ausgibt - dazu gehört auch, dass das ""desire to please"" rausgetrimmt werden muss.",Ich hoffe wir stoßen am Schulgelände noch auf Öl oder zumindest eine kleine Goldader.
T008,teacher,,2026-05-04T13:58:40.6833333,,DBI,Über 15 Jahre,3,"Nein, aber ich plane es",ChatGPT|DeepL|Perplexity,,Seltener,Aufgaben und Prüfungen erstellen,"Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Übungsphasen im Unterricht|Vorbereitung auf Tests und Schularbeiten|Differenzierung (unterschiedliche Niveaus in einer Klasse),"Ja, das klingt sinnvoll",Permanent verfügbar,Individuellere Betreuung ermöglichen|Bessere Vorbereitung der Schüler:innen auf Prüfungen|Schüler:innen zum eigenständigen Lernen anregen,,Fachliche Korrektheit der Antworten|Anpassung an meinen Lehrplan und meine Materialien|Differenzierung nach Leistungsniveau,3,Das soll je nach Workspace einstellbar sein,3,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Schulinterne Dateiablage",,"Nein, der Unterricht findet auf Deutsch statt, der Tutor sollte das auch",,4,4,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen|Forderung leistungsstarker Schüler:innen,"Ja, das fördert kritisches Denken",3,"Ja, aber jede Lehrperson legt eigene Regeln fest","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",4,Individuelle Nutzungsfrequenz pro Schüler:in (ohne Chatinhalte)|Anonymisierte Chat-Verläufe,DSGVO-konforme Datenverarbeitung in der EU,,Die Schulleitung zentral,3,4,Gut informiert,Lösungen von Aufgaben liefern,
T009,teacher,,2026-05-04T14:35:02.4933333,Programmierunterricht,,5–15 Jahre,3,"Nein, aber ich plane es",ChatGPT|Microsoft Copilot|Google Gemini,,Etwa einmal pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Texte verfassen oder korrigieren|Eigene Weiterbildung","Ja, privat finanziert",Die meisten nutzen KI regelmäßig,Gelegentlich (ein paar Mal pro Monat),Hausübungsbegleitung (Schüler:innen arbeiten zu Hause mit dem Tutor)|Vorbereitung auf Tests und Schularbeiten|Nachhilfe-Ersatz für schwächere Schüler:innen,"Nur wenn fertige Vorlagen vorhanden sind, die ich anpassen kann",Permanent verfügbar,Schüler:innen zum eigenständigen Lernen anregen|Modernisierung des Unterrichts|Bessere Vorbereitung der Schüler:innen auf Prüfungen,,Einfache Erstellung von Workspaces|Auswertung der Schüler:innen-Nutzung (Lernfortschritt)|Fachliche Korrektheit der Antworten,2,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",4,"Programmierwerkzeuge (z.B. GitHub, IDE-Integration)",,"Ja, das wäre für einige meiner Schüler:innen wichtig",,3,2,Personalisiertes Lernen (individuelle Lernpfade)|Förderung schwächerer Schüler:innen|Zeitnahe Rückmeldung auf Aufgaben,"Ja, das fördert kritisches Denken",3,"Ja, schulweite Regeln","KI als Hilfsmittel erlaubt, wenn die Aufgabenstellung darauf ausgelegt ist",2,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")|Anonymisierte Chat-Verläufe",DSGVO-konforme Datenverarbeitung in der EU|Eltern-Informationspflicht bei Nutzung durch Minderjährige,,Die Schulleitung zentral,2,4,"Habe davon gehört, kenne Details nicht","Vorab keines. Es wäre aber ein No-Go, falls sich nach einiger Zeit der Nutzung ein konkretes Problem ergibt, das Tool dann aber nicht mehr adaptiert werden kann bzw. nicht mehr wird.",
T010,teacher,,2026-05-04T17:17:08.3233333,Englisch,,5–15 Jahre,3,"Nein, aber ich plane es",ChatGPT|Microsoft Copilot|DeepL,,Etwa einmal pro Woche,"Unterrichtsvorbereitung (Materialien, Arbeitsblätter)|Aufgaben und Prüfungen erstellen|Eigene Weiterbildung",Nein,Ich kann das nicht einschätzen,Selten (für bestimmte Themen/Projekte),Nachhilfe-Ersatz für schwächere Schüler:innen|Differenzierung (unterschiedliche Niveaus in einer Klasse),"Nur wenn fertige Vorlagen vorhanden sind, die ich anpassen kann",Nur zu von mir definierten Zeiten,Modernisierung des Unterrichts,,Anpassung an meinen Lehrplan und meine Materialien|Nachvollziehbare Quellenangaben|Auswertung der Schüler:innen-Nutzung (Lernfortschritt),2,"Schrittweise Hilfe, die Lösung erst nach mehreren Versuchen",2,"Lernplattform/LMS (z.B. Moodle, MS Teams)|Elektronisches Klassenbuch",,"Wäre ein nettes Extra, aber nicht prioritär",,3,2,Personalisiertes Lernen (individuelle Lernpfade)|Forderung leistungsstarker Schüler:innen,"Ja, das fördert kritisches Denken",2,"Ja, aber jede Lehrperson legt eigene Regeln fest","Nur grundlegende Funktionen wie Rechtschreibprüfung, Übersetzung, etc.",2,"Aggregierte Statistiken (z.B. „70% der Klasse hatten Fragen zu Thema X"")",Keine Weitergabe von Daten an Dritte,,Jede Lehrperson für ihren eigenen Workspace,2,3,Grundlegendes Verständnis,"- Falsche Informationen als sicher darstellen
- Mangel an Transparenz (Nicht zuzugeben, wenn etwas unklar ist, oder Quellen zu erfinden)",
